"BU_NAME","IMPEXP_TYPR","CONTAINER_NUM","SHIPPING_LINE_OPERATOR","VESSEL","VOYAGE_NUM","ARRIVAL_DATE","DEPARTURE_DATE","ORIGIN_COUNTRY","PORT_OF_LANDING","DESTINATION_COUNTRY","PORT_OF_UNLADING","TEU","GOODS_VALUE_USD","NOTIFIER_NAME","CONSIGNEE_NAME","SHIPPER_NAME","ITEM_DESCRIPTION","BL_NO"
"NEPTUNIA","Import","MEDU6957306","MEDITERRANEAN SHIPPING COMPANY","MSC ROMANE","928A","20190808","20190809","","Jebel Ali , United Arab Emirates","","Callao , Peru",1,"","","","","SOLVESSO 100","MEDUDC184485"
"NEPTUNIA","Import","MEDU3067422","MEDITERRANEAN SHIPPING COMPANY","MSC ROMANE","928A","20190808","20190809","","Jebel Ali , United Arab Emirates","","Callao , Peru",1,"","","","","SOLVESSO 100","MEDUDC184485"
"NEPTUNIA","Import","UACU8393180","HAPAG LLOYD CORPORATION","CALLAO EXPRESS","9125S","20190718","20190720","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","225 PIECES OF USED HOUSEHOLDGOODS1 CAR NISSAN QA","HLCUANR190612540"
"NEPTUNIA","Import","UACU8357408","HAPAG LLOYD CORPORATION","CALLAO EXPRESS","9125S","20190718","20190720","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","","HLCUANR190646277"
"NEPTUNIA","Import","TEMU9039082","HAPAG LLOYD CORPORATION","CALLAO EXPRESS","9125S","20190718","20190720","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","","HLCUANR190641832"
"NEPTUNIA","Import","TCLU2866163","HAPAG LLOYD CORPORATION","CALLAO EXPRESS","9125S","20190718","20190720","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","","HLCULE1190648782"
"NEPTUNIA","Import","TEMU7176614","HAPAG LLOYD CORPORATION","VALPARAISO EXPRESS","9123S","20190705","20190706","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","","HLCURTM190602332"
"NEPTUNIA","Import","HLXU6764034","HAPAG LLOYD CORPORATION","VALPARAISO EXPRESS","9123S","20190705","20190706","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","","HLCUANR190601161"
"NEPTUNIA","Import","TGHU1589799","CMA-CGM","CMA CGM JEAN GABRIEL","0WC3LS1MA","20190711","20190712","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","(80 DRUMS) AZOLON X 200 L HS CODE 31029000 TOTAL NET WEIGHT 19.840 KG (80 DRUMS) AZOLON X 200 L HS","DUS0240709"
"NEPTUNIA","Import","CMAU1738478","CMA-CGM","CMA CGM JEAN GABRIEL","0WC3LS1MA","20190711","20190712","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","(80 DRUMS) AZOLON X 200 L HS CODE 31029000 TOTAL NET WEIGHT 19.840 KG (80 DRUMS) AZOLON X 200 L HS","DUS0240709"
"NEPTUNIA","Import","APZU3272526","CMA-CGM","CMA CGM JEAN GABRIEL","0WC3LS1MA","20190711","20190712","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","(80 DRUMS) AZOLON X 200 L HS CODE 31029000 TOTAL NET WEIGHT 19.840 KG (80 DRUMS) AZOLON X 200 L HS","DUS0240709"
"NEPTUNIA","Import","DFSU6609446","HAPAG LLOYD CORPORATION","CMA CGM JEAN GABRIEL","0WC3LS1MA","20190711","20190712","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","","HLCUANR190622697"
"NEPTUNIA","Import","MSKU1526084","HAMBURG SUD","SAFMARINE NOMAZWE","925S","20190716","20190717","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","1 CONTAINER(S) S.T.C 33 PACKAGES R-0175966 VOLVO TRUCK PARTS CONTAINS DANGEROUS GOODS UN1139, COATIN","SUDUC9ANR013690X"
"NEPTUNIA","Import","TCNU2942825","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","HLXU1146500","HAPAG LLOYD CORPORATION","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","","HLCUANR190722081"
"NEPTUNIA","Import","BEAU4020337","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","SEGU6313188","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLETS LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 7410 XCP IN 25KG BAGS HS CODE 39","ANT1247221"
"NEPTUNIA","Import","CMAU7142038","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","GESU5722227","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","CMAU5813081","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","GESU5678320","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","TLLU4625142","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED INTO 1 40? HIGH CUBE CONTAINER ADYSL 6 C 30 F IN 25KG BAG HS CODE 39023000 NET WEIGHT 24750","ANT1247174"
"NEPTUNIA","Import","FCIU3305929","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","(80 DRUMS) AZOLON N-28 200 L HS CODE 31029000 TOTAL NET WEIGHT 19.840 KG *RUC NO. 20520757423 CONTA","DUS0241531"
"NEPTUNIA","Import","CAIU9564847","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLETS LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 7423 XCP IN 25KG BAGS HS CODE 39","ANT1247159"
"NEPTUNIA","Import","TLLU4930737","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","TCNU6761208","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","CMAU7850103","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","SEGU5064671","CMA-CGM","GUAYAQUIL EXPRESS","9128S","20190809","20190810","","Antwerpen , Belgium","","Callao , Peru",2,"","","OPP FILM S.A.","","LOADED ONTO 18 PALLET LOADED INTO 1 40? HIGH CUBE CONTAINER ADSYL 5 C 30 F IN 25KG BAGS HS CODE 390","ANT1247201"
"NEPTUNIA","Import","HLXU3267857","HAPAG LLOYD CORPORATION","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","","HLCUANR190707451"
"NEPTUNIA","Import","LNXU9651929","HAPAG LLOYD CORPORATION","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","","HLCUANR190707440"
"NEPTUNIA","Import","FCIU4683203","HAPAG LLOYD CORPORATION","CMA CGM TANYA","0WC3RS1MA","20190801","20190803","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","","HLCUEUR1906AUZP8"
"NEPTUNIA","Import","GLDU9864822","CMA-CGM","CMA CGM NIAGARA","0WC3VS1MA","20190815","20190817","","Antwerpen , Belgium","","Callao , Peru",1,"","","","","156 BALES. TURKISH LAUREL LEAVES, NET WEIGHT 7.800 KGS GROSS WEIGHT 7.878 KGS 5 BOXES TURKISH LAU","ECK0208753"
"NEPTUNIA","Import","HAMU1249121","HAPAG LLOYD CORPORATION","CMA CGM NIAGARA","0WC3VS1MA","20190815","20190817","","Antwerpen , Belgium","","Callao , Peru",2,"","","","","","HLCURTM190745005"
