"BU_NAME","IMPEXP_TYPR","CONTAINER_NUM","SHIPPING_LINE_OPERATOR","VESSEL","VOYAGE_NUM","ARRIVAL_DATE","DEPARTURE_DATE","ORIGIN_COUNTRY","PORT_OF_LANDING","DESTINATION_COUNTRY","PORT_OF_UNLADING","TEU","GOODS_VALUE_USD","NOTIFIER_NAME","CONSIGNEE_NAME","SHIPPER_NAME","ITEM_DESCRIPTION","BL_NO"
"NEPTUNIA","Export","EISU1859979","EVERGREEN","COSCO MALAYSIA","007W","20190706","20190707","","Callao , Peru","","Melbourne , Australia",2,"","","","INKABOR S.A.C.","FERTIBRAGA 21-25KG PP BB",""
"NEPTUNIA","Export","TRLU8968602","APL","VALPARAISO EXPRESS","9132N","20190916","20190918","","Callao , Peru","","ANTWERP , Belgium",1,"","","","VIRU S.A.","CONSERVAS",""
"NEPTUNIA","Export","CMAU1578981","APL","COSCO SHIPPING DANUBE","930N","20190902","20190903","","Callao , Peru","","ANTWERP , Belgium",1,"","","","VIRU S.A.","CONSERVAS",""
"NEPTUNIA","Export","EURU0641489","HAPAG LLOYD CORPORATION","CMA CGM TANYA","0WC3SN1MA","20190814","20190815","","Callao , Peru","","Antwerpen , Belgium",1,"","","","TENMINSTE S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","FBIU0091523","HAPAG LLOYD CORPORATION","CMA CGM TANYA","0WC3AN1MA","20190610","20190611","","Callao , Peru","","ANTWERP , Belgium",1,"","","","INKABOR S.A.C.","INKABOR META C",""
"NEPTUNIA","Export","GLDU3490181","MEDITERRANEAN SHIPPING COMPANY","MSC YASHI B","927R","20190709","20190710","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","TGHU3386445","MEDITERRANEAN SHIPPING COMPANY","MSC YASHI B","927R","20190709","20190710","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","FCIU2835272","MEDITERRANEAN SHIPPING COMPANY","MSC YASHI B","927R","20190709","20190710","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","TCLU2055839","MEDITERRANEAN SHIPPING COMPANY","MSC YASHI B","927R","20190709","20190710","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","MEDU6346462","HAMBURG SUD","MSC YASHI B","927R","20190709","20190710","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","MEDU1096801","MEDITERRANEAN SHIPPING COMPANY","MSC YASHI B","927R","20190709","20190710","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","MEDU3093695","MEDITERRANEAN SHIPPING COMPANY","MSC VERONIQUE","924A","20190611","20190612","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO CQ",""
"NEPTUNIA","Export","GLDU9653521","MEDITERRANEAN SHIPPING COMPANY","MSC VERONIQUE","924A","20190611","20190612","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO CQ",""
"NEPTUNIA","Export","MEDU6733348","MEDITERRANEAN SHIPPING COMPANY","MSC VERONIQUE","924A","20190611","20190612","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO CQ",""
"NEPTUNIA","Export","GLDU3861087","MEDITERRANEAN SHIPPING COMPANY","MSC VERONIQUE","924A","20190611","20190612","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO CQ",""
"NEPTUNIA","Export","GLDU3665660","MEDITERRANEAN SHIPPING COMPANY","MSC CARLOTTA","925R","20190625","20190626","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","GLDU5544100","MEDITERRANEAN SHIPPING COMPANY","MSC CARLOTTA","925R","20190625","20190626","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","GLDU9432475","MEDITERRANEAN SHIPPING COMPANY","MSC CARLOTTA","925R","20190625","20190626","","Callao , Peru","","Para , Brazil",1,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","BMOU6115185","MEDITERRANEAN SHIPPING COMPANY","MSC NATASHA","934A","20190904","20190905","","Callao , Peru","","Vancouver , Canada",2,"","","","VIRU S.A.","CONSERVAS",""
"NEPTUNIA","Export","CAIU7213313","MEDITERRANEAN SHIPPING COMPANY","MSC REGULUS","NX936R","20190910","20190911","","Callao , Peru","","Montreal , Canada",2,"","","","INKABOR S.A.C.","ACIDO BORICO",""
"NEPTUNIA","Export","MEDU7325335","MEDITERRANEAN SHIPPING COMPANY","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Vancouver , Canada",2,"","","","VIRU S.A.","CONSERVAS",""
