BU_NAME	IMPEXP_TYPR	CONTAINER_NUM	SHIPPING_LINE_OPERATOR	VESSEL	VOYAGE_NUM	ARRIVAL_DATE	DEPARTURE_DATE	ORIGIN_COUNTRY	PORT_OF_LANDING	DESTINATION_COUNTRY	PORT_OF_UNLADING	TEU	GOODS_VALUE_USD	NOTIFIER_NAME	CONSIGNEE_NAME	SHIPPER_NAME	ITEM_DESCRIPTION	BL_NO
NEPTUNIA	Export	TRHU2949567	APL	CMA CGM NIAGARA	0WC3WN1MA	20190826	20190828		Callao , Peru		HAMBURGO/BREMEN , Albania	1				GREEN PERU S.A	ALIMENTOS EN CONSERVAS	
NEPTUNIA	Export	NYKU9768128	Ocean Network Express 	MSC LAUREN	930R	20190807	20190808		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICA	
NEPTUNIA	Export	CXDU1617180	Ocean Network Express 	MSC LAUREN	930R	20190807	20190808		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICA	
NEPTUNIA	Export	FCIU5652700	Ocean Network Express 	MSC LAUREN	930R	20190807	20190808		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICA	
NEPTUNIA	Export	TEMU2332951	Ocean Network Express 	MSC LAUREN	930R	20190807	20190808		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICA	
NEPTUNIA	Export	CSNU1062223	COSCO	COSCO MALAYSIA	007W	20190706	20190707		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMIICOS	
NEPTUNIA	Export	TEMU3516697	COSCO	COSCO MALAYSIA	007W	20190706	20190707		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	DFSU2331167	COSCO	COSCO MALAYSIA	007W	20190706	20190707		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	TRHU3879720	COSCO	COSCO MALAYSIA	007W	20190706	20190707		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	FSCU7087803	EVERGREEN	MELBOURNE STRAIT	010N	20190630	20190630		Callao , Peru		San Juan , Argentina	2				OPP FILM S.A.	MERCADERIA EN GENERAL - PLASTICOS	
NEPTUNIA	Export	CSLU1443557	COSCO	COSCO MALAYSIA	007W	20190706	20190707		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	UETU2714436	COSCO	COSCO HELLAS	084W	20190608	20190609		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	BMOU1023337	COSCO	COSCO HELLAS	084W	20190608	20190609		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	CSLU1779393	COSCO	COSCO HELLAS	084W	20190608	20190609		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	CSNU1688541	COSCO	COSCO HELLAS	084W	20190608	20190609		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	CSNU1612870	COSCO	COSCO HELLAS	084W	20190608	20190609		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	TGBU2373518	COSCO	COSCO HELLAS	084W	20190608	20190609		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	CSNU1168339	COSCO	COSCO HELLAS	084W	20190608	20190609		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	CSNU1552787	COSCO	COSCO HELLAS	084W	20190608	20190609		Callao , Peru		Cordoba , Argentina	1				CERAMICA SAN LORENZO SAC	CERAMICOS	
NEPTUNIA	Export	EGHU9275589	EVERGREEN	MELBOURNE STRAIT	013N	20190922	20190922		Callao , Peru	San Juan , Puerto Rico	San Juan , Argentina	2				PERUANA DE MOLDEADOS S.A.	ENVASES DESCARTABLES	
NEPTUNIA	Export	EGHU9114590	EVERGREEN	MELBOURNE STRAIT	013N	20190922	20190922		Callao , Peru	San Juan , Puerto Rico	San Juan , Argentina	2				PERUANA DE MOLDEADOS S.A.	ENVASES DESCARTABLES	
NEPTUNIA	Export	EITU9022405	EVERGREEN	MELBOURNE STRAIT	013N	20190922	20190922		Callao , Peru	San Juan , Puerto Rico	San Juan , Argentina	2				PERUANA DE MOLDEADOS S.A.	ENVASES DESCARTABLES	
NEPTUNIA	Export	CSNU1246323	COSCO	CMA CGM GANGES	0JX2OW1PL	20190630	20190701		Callao , Peru		Sydney , Australia	1				DANPER TRUJILLO S.A.C.	CONSERVAS	
NEPTUNIA	Export	TCKU2139681	YANG MING LINE	COSCO PRINCE RUPERT	054W	20190828	20190829		Callao , Peru		Port Kembla , Australia	1				INDUSTRIAS ELECTRO QUIMICAS S A	OXIDO DE ZINC / IMO 9 / UN 3077	
NEPTUNIA	Export	TEMU1276257	CMA-CGM	XIN OU ZHOU	041W	20190622	20190623		Callao , Peru		Sydney , Australia	1				DANPER TRUJILLO S.A.C.	CONSERVAS	
NEPTUNIA	Export	TCNU4350888	EVERGREEN	MEDITERRANEAN BRIDGE	006W	20190911	20190912		Callao , Peru		Port Kembla , Australia	2				CORPORACION HURACAN S.A.C.	MERCADERIA EN GENERAL -	
NEPTUNIA	Export	MEDU5937624	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Melbourne , Australia	1				TECNOLOGICA DE ALIMENTOS S.A.	EF+IMO-9 + UN2216 - UN3359 / HARINA DE PESCADO	
NEPTUNIA	Export	EITU1118100	EVERGREEN	MEDITERRANEAN BRIDGE	006W	20190911	20190912		Callao , Peru		Port Kembla , Australia	2				CORPORACION HURACAN S.A.C.	MERCADERIA EN GENERAL -	
NEPTUNIA	Export	MEDU6307281	MEDITERRANEAN SHIPPING COMPANY	MSC GAYANE	NX935R	20190903	20190904		Callao , Peru		ANTWERP , Belgium	1				PROCESADORA INDUSTRIAL RIO SECO S.A.	IMO 09 - UN 3077 - POLUCIÓN MARINA // SULFATO DE MANGANESO	
NEPTUNIA	Export	TGHU1014048	MEDITERRANEAN SHIPPING COMPANY	MSC GAYANE	NX935R	20190903	20190904		Callao , Peru		ANTWERP , Belgium	1				PROCESADORA INDUSTRIAL RIO SECO S.A.	IMO 09 - UN 3077 - POLUCIÓN MARINA // SULFATO DE MANGANESO	
NEPTUNIA	Export	UACU8533744	HAPAG LLOYD CORPORATION	COSCO SHIPPING DANUBE	930N	20190902	20190903		Callao , Peru		ANTWERP , Belgium	2				INDUSTRIAS ELECTRO QUIMICAS S A	OXIDO DE ZINC // IMO 9 + UN 3077	
NEPTUNIA	Export	UACU8496281	HAPAG LLOYD CORPORATION	VALPARAISO EXPRESS	9132N	20190916	20190918		Callao , Peru		ANTWERP , Belgium	2				INDUSTRIAS ELECTRO QUIMICAS S A	OXIDO ZINC  / IMO-09 / UN-3077 /	
